Date,BBCA.JK,TLKM.JK
2021-09-20,5642.29296875,2846.791015625
2021-09-21,5560.89306640625,2854.878662109375
2021-09-22,5616.587890625,2903.403076171875
2021-09-23,5638.0087890625,2879.14111328125
2021-09-24,5642.29296875,2879.14111328125
2021-09-27,5638.0087890625,2846.791015625
2021-09-28,5586.59814453125,2854.878662109375
2021-09-29,5638.0087890625,2854.878662109375
2021-09-30,5997.8818359375,2984.278076171875
2021-10-01,5792.2392578125,2960.015625
2021-10-04,5963.609375,2968.10302734375
2021-10-05,5950.75537109375,2968.10302734375
2021-10-06,6152.11279296875,3040.890380859375
2021-10-07,6134.97607421875,3008.54052734375
2021-10-08,6246.36474609375,3073.240234375
2021-10-11,6216.37646484375,3081.327880859375
2021-10-12,6272.07080078125,3057.0654296875
2021-10-13,6447.7236328125,3048.977783203125
2021-10-14,6640.51220703125,3097.502685546875
2021-10-15,6554.828125,3081.327880859375
2021-10-18,6447.7236328125,3065.15283203125
2021-10-19,6426.3017578125,3024.71533203125
2021-10-21,6340.61865234375,3113.677734375
2021-10-22,6447.7236328125,3129.8525390625
2021-10-25,6447.7236328125,3057.0654296875
2021-10-26,6447.7236328125,3073.240234375
2021-10-27,6383.4599609375,3065.15283203125
2021-10-28,6319.19677734375,3032.802978515625
2021-10-29,6404.88134765625,3073.240234375
2021-11-01,6340.61865234375,2992.36572265625
2021-11-02,6254.93408203125,2960.015625
2021-11-03,6297.7763671875,3008.54052734375
2021-11-04,6319.19677734375,3048.977783203125
2021-11-05,6383.4599609375,3048.977783203125
2021-11-08,6490.5654296875,3032.802978515625
2021-11-09,6576.2490234375,3000.452880859375
2021-11-10,6554.828125,2992.36572265625
2021-11-11,6576.2490234375,2951.927978515625
2021-11-12,6447.7236328125,2911.49072265625
2021-11-15,6426.3017578125,2911.49072265625
2021-11-16,6404.88134765625,2968.10302734375
2021-11-17,6512.3447265625,2935.753173828125
2021-11-18,6361.89501953125,2935.753173828125
2021-11-19,6383.3876953125,3154.114990234375
2021-11-22,6426.3740234375,3073.240234375
2021-11-23,6426.3740234375,3073.240234375
2021-11-24,6426.3740234375,3073.240234375
2021-11-25,6383.3876953125,3234.98974609375
2021-11-26,6254.43017578125,3243.0771484375
2021-11-29,6361.89501953125,3348.214599609375
2021-11-30,6254.43017578125,3226.902099609375
2021-12-01,6275.923828125,3299.689453125
2021-12-02,6447.86669921875,3364.389404296875
2021-12-03,6340.40185546875,3291.60205078125
2021-12-06,6318.91015625,3372.476806640625
2021-12-07,6318.91015625,3356.3017578125
2021-12-08,6383.3876953125,3307.777099609375
2021-12-09,6318.91015625,3356.3017578125
2021-12-10,6340.40185546875,3356.3017578125
2021-12-13,6275.923828125,3299.689453125
2021-12-14,6275.923828125,3315.864501953125
2021-12-15,6275.923828125,3299.689453125
2021-12-16,6254.43017578125,3315.864501953125
2021-12-17,6447.86669921875,3315.864501953125
2021-12-20,6340.40185546875,3299.689453125
2021-12-21,6340.40185546875,3364.389404296875
2021-12-22,6297.4169921875,3323.951904296875
2021-12-23,6275.923828125,3364.389404296875
2021-12-24,6275.923828125,3323.951904296875
2021-12-27,6318.91015625,3299.689453125
2021-12-28,6318.91015625,3307.777099609375
2021-12-29,6275.923828125,3299.689453125
2021-12-30,6275.923828125,3267.339599609375
2022-01-03,6297.4169921875,3380.564208984375
2022-01-04,6361.89501953125,3372.476806640625
2022-01-05,6404.88134765625,3275.427001953125
2022-01-06,6426.3740234375,3332.039306640625
2022-01-07,6576.82373046875,3372.476806640625
2022-01-10,6533.8388671875,3315.864501953125
2022-01-11,6619.8095703125,3307.777099609375
2022-01-12,6619.8095703125,3323.951904296875
2022-01-13,6619.8095703125,3380.564208984375
2022-01-14,6748.767578125,3388.65185546875
2022-01-17,6662.7958984375,3380.564208984375
2022-01-18,6598.31640625,3437.1767578125
2022-01-19,6598.31640625,3437.1767578125
2022-01-20,6684.28857421875,3412.914306640625
2022-01-21,6834.7392578125,3501.87646484375
2022-01-24,6705.78173828125,3477.614013671875
2022-01-25,6684.28857421875,3469.5263671875
2022-01-26,6619.8095703125,3550.4013671875
2022-01-27,6705.78173828125,3453.351806640625
2022-01-28,6684.28857421875,3445.26416015625
2022-01-31,6555.3310546875,3388.65185546875
2022-02-02,6705.78173828125,3372.476806640625
2022-02-03,6641.302734375,3396.739501953125
2022-02-04,6641.302734375,3421.001708984375
2022-02-07,6705.78173828125,3469.5263671875
2022-02-08,6641.302734375,3421.001708984375
2022-02-09,6834.7392578125,3461.439208984375
2022-02-10,6662.7958984375,3607.013427734375
2022-02-11,6727.2744140625,3598.926025390625
2022-02-14,6619.8095703125,3558.48828125
2022-02-15,6770.259765625,3566.576171875
2022-02-16,6856.2314453125,3558.48828125
2022-02-17,6791.75341796875,3566.576171875
2022-02-18,6813.24609375,3558.48828125
2022-02-21,6834.7392578125,3534.226318359375
2022-02-22,6791.75341796875,3477.614013671875
